time,temperature_2m,relative_humidity_2m,wind_speed_10m,shortwave_radiation,temperature_2m_media_movel_24h,relative_humidity_2m_media_movel_24h,wind_speed_10m_media_movel_24h,shortwave_radiation_media_movel_24h,indice_calor_c
2026-07-03 05:00:00,-0.7,88,11.0,0.0,5.745833333333334,81.79166666666667,16.570833333333333,48.0,-0.7000000000000008
2026-07-03 06:00:00,-0.8,89,9.9,0.0,5.354166666666667,81.5,16.308333333333334,48.0,-0.8000000000000007
2026-07-03 07:00:00,-0.8,90,10.9,0.0,4.975,81.20833333333333,16.083333333333332,48.0,-0.8000000000000007
2026-07-03 08:00:00,-0.5,91,11.0,5.0,4.616666666666666,80.91666666666667,15.833333333333334,48.166666666666664,-0.4999999999999992
2026-07-03 09:00:00,1.5,85,13.1,112.0,4.3374999999999995,80.375,15.670833333333333,52.083333333333336,1.5000000000000016
2026-07-03 10:00:00,3.1,82,11.8,280.0,4.129166666666667,79.70833333333333,15.358333333333334,61.333333333333336,3.099999999999999
2026-07-03 11:00:00,4.9,77,12.8,429.0,4.0,78.875,15.179166666666667,75.16666666666667,4.9
2026-07-03 12:00:00,6.6,71,16.8,524.0,3.954166666666667,78.0,15.075000000000001,91.45833333333333,6.599999999999998
2026-07-03 13:00:00,7.9,67,20.9,539.0,3.970833333333333,77.125,15.133333333333333,108.04166666666667,7.8999999999999995
2026-07-03 14:00:00,8.3,67,21.0,478.0,3.9791666666666665,76.54166666666667,15.279166666666667,119.20833333333333,8.299999999999999
2026-07-03 15:00:00,8.5,67,19.4,295.0,3.991666666666667,76.20833333333333,15.366666666666665,121.0,8.499999999999998
2026-07-03 16:00:00,8.7,65,16.2,162.0,4.0125,76.0,15.300000000000002,120.79166666666667,8.699999999999998
2026-07-03 17:00:00,8.7,67,11.5,96.0,4.020833333333333,76.04166666666667,15.070833333333335,122.33333333333333,8.699999999999998
2026-07-03 18:00:00,7.7,73,8.7,16.0,4.0125,76.29166666666667,14.816666666666668,122.33333333333333,7.699999999999999
2026-07-03 19:00:00,7.8,73,10.1,0.0,4.058333333333334,76.33333333333333,14.704166666666666,122.33333333333333,7.799999999999999
2026-07-03 20:00:00,7.5,76,10.4,0.0,4.075,76.58333333333333,14.408333333333333,122.33333333333333,7.5
2026-07-03 21:00:00,6.8,80,8.3,0.0,4.095833333333333,77.0,13.891666666666667,122.33333333333333,6.799999999999997
2026-07-03 22:00:00,5.5,88,6.3,0.0,4.108333333333333,77.875,13.2875,122.33333333333333,5.499999999999999
2026-07-03 23:00:00,6.2,85,7.0,0.0,4.2,78.58333333333333,12.799999999999999,122.33333333333333,6.199999999999998
2026-07-04 00:00:00,6.3,85,7.5,0.0,4.3625,79.0,12.475,122.33333333333333,6.300000000000002
2026-07-04 01:00:00,5.8,87,8.8,0.0,4.541666666666667,79.375,12.195833333333333,122.33333333333333,5.799999999999999
2026-07-04 02:00:00,4.1,94,4.7,0.0,4.675,79.95833333333333,11.79166666666667,122.33333333333333,4.100000000000001
2026-07-04 03:00:00,4.6,95,5.6,0.0,4.883333333333334,80.33333333333333,11.525,122.33333333333333,4.6000000000000005
2026-07-04 04:00:00,5.0,94,6.0,0.0,5.1125,80.66666666666667,11.237499999999999,122.33333333333333,5.0
2026-07-04 05:00:00,5.3,94,6.8,0.0,5.3625,80.91666666666667,11.0625,122.33333333333333,5.3
2026-07-04 06:00:00,5.4,96,7.3,0.0,5.620833333333334,81.20833333333333,10.954166666666666,122.33333333333333,5.3999999999999995
2026-07-04 07:00:00,5.5,98,8.6,0.0,5.883333333333333,81.54166666666667,10.858333333333334,122.33333333333333,5.499999999999999
2026-07-04 08:00:00,5.6,99,7.6,2.0,6.137499999999999,81.875,10.716666666666667,122.20833333333333,5.599999999999999
2026-07-04 09:00:00,5.6,97,5.5,34.0,6.308333333333333,82.375,10.4,118.95833333333333,5.599999999999999
2026-07-04 10:00:00,6.6,94,10.6,91.0,6.454166666666667,82.875,10.35,111.08333333333333,6.599999999999998
2026-07-04 11:00:00,7.3,89,12.1,152.0,6.554166666666666,83.375,10.320833333333333,99.54166666666667,7.300000000000001
2026-07-04 12:00:00,7.9,86,11.3,190.0,6.608333333333333,84.0,10.091666666666667,85.625,7.8999999999999995
2026-07-04 13:00:00,8.9,81,12.1,248.0,6.6499999999999995,84.58333333333333,9.725,73.5,8.900000000000002
2026-07-04 14:00:00,9.9,77,12.1,241.0,6.716666666666668,85.0,9.354166666666666,63.625,9.899999999999999
2026-07-04 15:00:00,10.8,77,11.6,196.0,6.8125,85.41666666666667,9.029166666666667,59.5,10.799999999999999
2026-07-04 16:00:00,10.8,78,9.5,144.0,6.8999999999999995,85.95833333333333,8.75,58.75,10.799999999999999
2026-07-04 17:00:00,10.4,82,8.0,62.0,6.970833333333334,86.58333333333333,8.604166666666666,57.333333333333336,10.399999999999999
2026-07-04 18:00:00,9.8,86,11.0,8.0,7.058333333333334,87.125,8.7,57.0,9.8
2026-07-04 19:00:00,9.7,86,9.0,0.0,7.1375,87.66666666666667,8.654166666666667,57.0,9.700000000000001
2026-07-04 20:00:00,9.6,87,8.5,0.0,7.2250000000000005,88.125,8.575,57.0,9.600000000000001
2026-07-04 21:00:00,9.5,86,9.2,0.0,7.3374999999999995,88.375,8.6125,57.0,9.5
2026-07-04 22:00:00,8.6,90,8.7,0.0,7.466666666666666,88.45833333333333,8.7125,57.0,8.599999999999998
2026-07-04 23:00:00,8.7,89,8.0,0.0,7.570833333333333,88.625,8.754166666666666,57.0,8.699999999999998
2026-07-05 00:00:00,9.0,87,9.9,0.0,7.683333333333333,88.70833333333333,8.854166666666666,57.0,9.000000000000002
2026-07-05 01:00:00,8.9,88,9.6,0.0,7.8125,88.75,8.8875,57.0,8.900000000000002
2026-07-05 02:00:00,9.0,89,11.4,0.0,8.016666666666667,88.54166666666667,9.166666666666666,57.0,9.000000000000002
2026-07-05 03:00:00,9.1,92,10.8,0.0,8.204166666666666,88.41666666666667,9.383333333333335,57.0,9.099999999999998
2026-07-05 04:00:00,9.2,91,10.5,0.0,8.379166666666666,88.29166666666667,9.570833333333335,57.0,9.200000000000001
2026-07-05 05:00:00,8.9,93,9.2,0.0,8.529166666666667,88.25,9.670833333333333,57.0,8.900000000000002
2026-07-05 06:00:00,8.7,94,10.2,0.0,8.666666666666666,88.16666666666667,9.791666666666666,57.0,8.699999999999998
2026-07-05 07:00:00,8.9,93,11.7,0.0,8.808333333333334,87.95833333333333,9.920833333333333,57.0,8.900000000000002
2026-07-05 08:00:00,9.0,94,10.5,2.0,8.950000000000001,87.75,10.041666666666666,57.0,9.000000000000002
2026-07-05 09:00:00,8.9,94,10.3,21.0,9.0875,87.625,10.241666666666665,56.458333333333336,8.900000000000002
2026-07-05 10:00:00,9.3,89,16.4,42.0,9.2,87.41666666666667,10.483333333333333,54.416666666666664,9.300000000000002
2026-07-05 11:00:00,9.8,85,15.9,119.0,9.304166666666667,87.25,10.641666666666667,53.041666666666664,9.8
2026-07-05 12:00:00,11.1,79,17.2,262.0,9.4375,86.95833333333333,10.887500000000001,56.041666666666664,11.099999999999998
