time,Temperatura_C,Umidade_Relativa_%,Velocidade_Vento_kmh,Radiacao_Solar_Wm2,Temperatura_C_MM24h,Umidade_Relativa_%_MM24h,Velocidade_Vento_kmh_MM24h,Radiacao_Solar_Wm2_MM24h,Indice_Calor_C
2026-07-09 12:00:00,16.6,66,5.8,357.0,11.433333333333335,76.625,8.9125,127.5,16.6
2026-07-09 13:00:00,18.6,62,5.6,484.0,11.5375,76.83333333333333,8.733333333333333,123.20833333333333,18.6
2026-07-09 14:00:00,19.8,60,5.9,503.0,11.645833333333334,77.125,8.516666666666667,120.625,19.8
2026-07-09 15:00:00,20.3,59,6.2,427.0,11.720833333333333,77.54166666666667,8.325000000000001,119.08333333333333,20.3
2026-07-09 16:00:00,20.5,61,5.8,342.0,11.820833333333333,77.70833333333333,8.2125,119.91666666666667,20.5
2026-07-09 17:00:00,19.5,75,4.0,204.0,11.9375,77.91666666666667,8.179166666666665,119.66666666666667,19.5
2026-07-09 18:00:00,17.1,79,3.2,48.0,12.0875,78.125,8.079166666666667,119.45833333333333,17.1
2026-07-09 19:00:00,15.7,83,2.5,0.0,12.237500000000002,78.29166666666667,7.837500000000001,119.45833333333333,15.7
2026-07-09 20:00:00,14.5,88,4.0,0.0,12.379166666666668,78.58333333333333,7.558333333333334,119.45833333333333,14.5
2026-07-09 21:00:00,13.7,90,4.2,0.0,12.516666666666667,78.83333333333333,7.195833333333333,119.45833333333333,13.7
2026-07-09 22:00:00,13.6,91,4.8,0.0,12.670833333333333,79.08333333333333,6.866666666666667,119.45833333333333,13.6
2026-07-09 23:00:00,12.5,94,5.4,0.0,12.804166666666665,79.41666666666667,6.629166666666666,119.45833333333333,12.5
2026-07-10 00:00:00,12.0,94,4.4,0.0,12.949999999999998,79.75,6.379166666666666,119.45833333333333,12.0
2026-07-10 01:00:00,13.3,92,5.4,0.0,13.166666666666666,80.0,6.191666666666666,119.45833333333333,13.3
2026-07-10 02:00:00,13.1,92,3.8,0.0,13.383333333333333,80.25,5.929166666666667,119.45833333333333,13.1
2026-07-10 03:00:00,12.2,96,9.3,0.0,13.591666666666667,80.625,5.979166666666667,119.45833333333333,12.2
2026-07-10 04:00:00,12.4,96,6.1,0.0,13.829166666666666,80.95833333333333,5.870833333333333,119.45833333333333,12.4
2026-07-10 05:00:00,12.7,97,9.4,0.0,14.0875,81.33333333333333,5.991666666666666,119.45833333333333,12.7
2026-07-10 06:00:00,12.9,97,8.2,0.0,14.341666666666667,81.79166666666667,6.016666666666667,119.45833333333333,12.9
2026-07-10 07:00:00,12.8,97,8.0,0.0,14.570833333333333,82.29166666666667,6.016666666666667,119.45833333333333,12.8
2026-07-10 08:00:00,12.7,97,10.1,3.0,14.770833333333334,82.91666666666667,6.0874999999999995,119.41666666666667,12.7
2026-07-10 09:00:00,13.7,96,10.6,40.0,14.904166666666667,83.66666666666667,6.1000000000000005,116.91666666666667,13.7
2026-07-10 10:00:00,15.2,96,7.1,165.0,14.991666666666665,84.58333333333333,6.058333333333334,115.58333333333333,15.2
2026-07-10 11:00:00,17.0,91,10.4,319.0,15.1,85.375,6.258333333333333,120.5,17.0
2026-07-10 12:00:00,19.1,81,10.8,458.0,15.204166666666666,86.0,6.466666666666668,124.70833333333333,19.1
2026-07-10 13:00:00,20.2,75,11.7,493.0,15.270833333333334,86.54166666666667,6.720833333333334,125.08333333333333,20.2
2026-07-10 14:00:00,21.1,71,12.7,554.0,15.325000000000001,87.0,7.004166666666666,127.20833333333333,21.1
2026-07-10 15:00:00,21.7,69,13.6,453.0,15.383333333333333,87.41666666666667,7.3125,128.29166666666666,21.7
